日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,510300,华泰柏瑞沪深300ETF,0.15%,0.05%,4.727,4.7253,≥ 60日均线,上穿60日均线,0.0957,0.125,-0.0585,
2026-02-12,510310,易方达沪深300发起式ETF,0.15%,0.05%,4.572,4.5424,≥ 60日均线,,0.0994,0.1253,-0.0517,
2026-02-12,159919,嘉实沪深300ETF,0.15%,0.05%,4.929,4.8559,≥ 60日均线,,0.1102,0.1298,-0.0392,
2026-02-12,510500,南方中证500ETF,0.15%,0.05%,8.514,7.7774,≥ 60日均线,,0.4691,0.4026,0.1329,
2026-02-12,510330,华夏沪深300ETF,0.15%,0.05%,4.919,4.8326,≥ 60日均线,,0.1245,0.1393,-0.0295,
2026-02-12,159792,富国中证港股通互联网ETF,0.50%,0.10%,0.839,0.8839,< 60日均线,,-0.0148,-0.0052,-0.0192,
2026-02-12,588000,华夏上证科创板50成份ETF,0.15%,0.05%,1.559,1.4776,≥ 60日均线,,0.0777,0.0785,-0.0016,红转绿
2026-02-12,510050,华夏上证50ETF,0.15%,0.05%,3.161,3.1372,≥ 60日均线,,0.0463,0.0587,-0.0247,
2026-02-12,511360,海富通中证短融ETF,0.15%,0.05%,113.04,112.8174,≥ 60日均线,,0.2298,0.2297,0.0,绿转红
2026-02-12,511380,博时可转债ETF,0.15%,0.05%,14.698,13.9401,≥ 60日均线,,0.446,0.3772,0.1376,
2026-02-12,159915,易方达创业板ETF,0.15%,0.05%,3.319,3.2017,≥ 60日均线,,0.1835,0.2017,-0.0365,
2026-02-12,512880,国泰中证全指证券公司ETF,0.50%,0.10%,1.185,1.2047,< 60日均线,,0.0005,0.0081,-0.0152,
2026-02-12,588200,嘉实上证科创板芯片ETF,0.50%,0.10%,2.682,2.4561,≥ 60日均线,,0.1924,0.1839,0.0169,
2026-02-12,563360,华泰柏瑞中证A500ETF,0.15%,0.05%,1.323,1.2711,≥ 60日均线,,0.0487,0.0483,0.0007,
2026-02-12,588080,易方达上证科创板50ETF,0.15%,0.05%,1.51,1.4309,≥ 60日均线,,0.0732,0.0739,-0.0015,
2026-02-12,159352,南方中证A500ETF,0.15%,0.05%,1.303,1.2517,≥ 60日均线,,0.0473,0.0466,0.0014,
2026-02-12,512050,华夏中证A500ETF,0.15%,0.05%,1.245,1.1964,≥ 60日均线,,0.0456,0.0454,0.0004,
2026-02-12,512000,华宝券商ETF,0.50%,0.10%,0.567,0.5757,< 60日均线,,-0.0562,-0.0704,0.0284,
2026-02-12,512400,南方中证申万有色金属ETF,0.50%,0.10%,2.271,1.988,≥ 60日均线,,0.2252,0.1971,0.0561,
2026-02-12,159870,鹏华中证细分化工产业ETF,0.50%,0.10%,0.925,0.8225,≥ 60日均线,,0.0676,0.0566,0.0221,
2026-02-12,512100,南方中证1000ETF,0.15%,0.05%,3.336,3.1344,≥ 60日均线,,0.1407,0.1281,0.0253,
2026-02-12,159636,工银瑞信国证港股通科技30ETF,0.45%,0.07%,0.647,0.8231,< 60日均线,,-0.1966,-0.1511,-0.091,
2026-02-12,511030,平安中债债利差因子ETF,0.15%,0.05%,107.107,106.737,≥ 60日均线,,2.5649,3.5757,-2.0215,
2026-02-12,159338,国泰中证A500ETF,0.15%,0.05%,1.254,1.2041,≥ 60日均线,,0.0466,0.0463,0.0006,
2026-02-12,511520,富国中债7-10年政策性金融债ETF,0.15%,0.05%,115.828,114.9934,≥ 60日均线,,0.1753,0.0835,0.1837,
2026-02-12,511220,海富通上证城投债ETF,0.15%,0.05%,10.27,10.2137,≥ 60日均线,,0.0038,-0.008,0.0237,
2026-02-12,512890,华泰柏瑞中证红利低波ETF,0.50%,0.10%,1.177,1.1766,≥ 60日均线,,-0.001,0.0021,-0.0062,
2026-02-12,159361,易方达中证A500ETF,0.15%,0.05%,1.276,1.2248,≥ 60日均线,,0.0476,0.0473,0.0007,
2026-02-12,512170,华宝中证医疗ETF,0.50%,0.10%,0.358,0.355,≥ 60日均线,,0.0006,0.001,-0.0009,
2026-02-12,159995,华夏国证半导体芯片ETF,0.50%,0.10%,1.933,1.8076,≥ 60日均线,,0.1204,0.1156,0.0095,
2026-02-12,513090,易方达中证香港证券投资主题ETF,0.15%,0.05%,2.058,2.0792,< 60日均线,,0.0096,0.033,-0.0467,
2026-02-12,562500,华夏中证机器人ETF,0.50%,0.10%,1.082,1.0155,≥ 60日均线,,0.0356,0.0309,0.0095,
2026-02-12,159819,易方达中证人工智能主题ETF,0.15%,0.05%,1.604,1.5482,≥ 60日均线,,0.1029,0.1099,-0.014,
2026-02-12,159949,华安创业板50ETF,0.50%,0.10%,1.56,1.5213,≥ 60日均线,,0.0894,0.1029,-0.027,
2026-02-12,510180,华安上证180ETF,0.15%,0.05%,4.208,4.111,≥ 60日均线,,0.0838,0.0907,-0.0138,
2026-02-12,159600,嘉实中证AAA科技创新公司债ETF,0.15%,0.05%,100.246,99.905,≥ 60日均线,,,,,
