日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-13,510300,华泰柏瑞沪深300ETF,0.15%,0.05%,4.671,4.7249,< 60日均线,下穿60日均线,0.0912,0.1241,-0.0657,
2026-02-13,510500,南方中证500ETF,0.15%,0.05%,8.373,7.7965,≥ 60日均线,,0.4578,0.4004,0.1149,
2026-02-13,510330,华夏沪深300ETF,0.15%,0.05%,4.862,4.8341,≥ 60日均线,,0.12,0.1384,-0.0368,
2026-02-13,159792,富国中证港股通互联网ETF,0.50%,0.10%,0.834,0.8828,< 60日均线,,-0.0152,-0.0053,-0.0198,
2026-02-13,588000,华夏上证科创板50成份ETF,0.15%,0.05%,1.548,1.4799,≥ 60日均线,,0.0769,0.0783,-0.003,红转绿
2026-02-13,510050,华夏上证50ETF,0.15%,0.05%,3.114,3.1363,< 60日均线,下穿60日均线,0.0425,0.0579,-0.0307,
2026-02-13,159949,华安创业板50ETF,0.50%,0.10%,1.537,1.5227,≥ 60日均线,,0.0876,0.1025,-0.0299,
2026-02-13,511360,海富通中证短融ETF,0.15%,0.05%,113.08,112.8248,≥ 60日均线,,0.2329,0.2304,0.0051,绿转红
2026-02-13,551030,鹏华上证AAA科创债ETF,0.15%,0.05%,100.333,99.8883,≥ 60日均线,,,,,
2026-02-13,511030,平安中债债利差因子ETF,0.15%,0.05%,107.158,106.7462,≥ 60日均线,,2.569,3.5765,-2.015,
2026-02-13,588200,嘉实上证科创板芯片ETF,0.50%,0.10%,2.674,2.4629,≥ 60日均线,,0.1917,0.1838,0.0158,
2026-02-13,563360,华泰柏瑞中证A500ETF,0.15%,0.05%,1.305,1.2723,≥ 60日均线,,0.0472,0.0481,-0.0016,红转绿
2026-02-13,588080,易方达上证科创板50ETF,0.15%,0.05%,1.5,1.4331,≥ 60日均线,,0.0724,0.0738,-0.0028,
2026-02-13,159352,南方中证A500ETF,0.15%,0.05%,1.285,1.2529,≥ 60日均线,,0.0459,0.0463,-0.0009,红转绿
2026-02-13,512050,华夏中证A500ETF,0.15%,0.05%,1.229,1.1976,≥ 60日均线,,0.0444,0.0452,-0.0016,红转绿
2026-02-13,512000,华宝券商ETF,0.50%,0.10%,0.562,0.5754,< 60日均线,,-0.0566,-0.0705,0.0278,
2026-02-13,510880,华泰柏瑞上证红利ETF,0.50%,0.10%,3.137,3.1766,< 60日均线,下穿60日均线,-0.0132,-0.0006,-0.0252,
2026-02-13,511380,博时可转债ETF,0.15%,0.05%,14.619,13.9567,≥ 60日均线,,0.4397,0.3759,0.1275,
2026-02-13,588050,工银瑞信上证科创板50成份ETF,0.30%,0.05%,1.51,1.4452,≥ 60日均线,,0.0744,0.0761,-0.0034,
2026-02-13,159915,易方达创业板ETF,0.15%,0.05%,3.265,3.2052,≥ 60日均线,,0.1792,0.2009,-0.0434,
2026-02-13,159919,嘉实沪深300ETF,0.15%,0.05%,4.866,4.8562,≥ 60日均线,,0.1052,0.1288,-0.0472,
2026-02-13,563800,广发中证A500ETF,0.15%,0.05%,1.232,1.2005,≥ 60日均线,,0.0446,0.0454,-0.0016,红转绿
2026-02-13,510310,易方达沪深300发起式ETF,0.15%,0.05%,4.522,4.5423,< 60日均线,下穿60日均线,0.0954,0.1245,-0.0581,
2026-02-13,159636,工银瑞信国证港股通科技30ETF,0.45%,0.07%,0.644,0.8109,< 60日均线,,-0.1969,-0.1512,-0.0914,
2026-02-13,159361,易方达中证A500ETF,0.15%,0.05%,1.259,1.226,≥ 60日均线,,0.0463,0.047,-0.0015,红转绿
2026-02-13,512170,华宝中证医疗ETF,0.50%,0.10%,0.353,0.355,< 60日均线,下穿60日均线,0.0002,0.0009,-0.0015,
2026-02-13,159995,华夏国证半导体芯片ETF,0.50%,0.10%,1.936,1.8119,≥ 60日均线,,0.1206,0.1157,0.0099,
2026-02-13,513090,易方达中证香港证券投资主题ETF,0.15%,0.05%,2.044,2.0782,< 60日均线,,0.0085,0.0328,-0.0485,
2026-02-13,562500,华夏中证机器人ETF,0.50%,0.10%,1.083,1.0177,≥ 60日均线,,0.0357,0.0309,0.0097,
2026-02-13,512400,南方中证申万有色金属ETF,0.50%,0.10%,2.193,1.9954,≥ 60日均线,,0.219,0.1959,0.0461,
2026-02-13,159819,易方达中证人工智能主题ETF,0.15%,0.05%,1.596,1.5511,≥ 60日均线,,0.1023,0.1098,-0.015,
2026-02-13,511520,富国中债7-10年政策性金融债ETF,0.15%,0.05%,115.776,115.0026,≥ 60日均线,,0.1712,0.0827,0.177,
2026-02-13,159870,鹏华中证细分化工产业ETF,0.50%,0.10%,0.907,0.8247,≥ 60日均线,,0.0662,0.0563,0.0198,
2026-02-13,551500,易方达中证AAA科技创新公司债ETF,0.15%,0.05%,100.613,100.1048,≥ 60日均线,,,,,
2026-02-13,510180,华安上证180ETF,0.15%,0.05%,4.162,4.1125,≥ 60日均线,,0.0801,0.0899,-0.0196,
2026-02-13,513980,景顺长城中证港股通科技ETF,0.50%,0.10%,0.703,0.735,< 60日均线,,-0.0108,-0.0018,-0.0181,
2026-02-13,159928,汇添富中证主要消费ETF,0.50%,0.10%,0.777,0.7982,< 60日均线,,-0.0127,-0.0087,-0.008,
2026-02-13,511110,易方达上证基准做市公司债ETF,0.15%,0.05%,101.516,100.9076,≥ 60日均线,,0.1845,0.1213,0.1264,
2026-02-13,159516,国泰中证半导体材料设备主题ETF,0.50%,0.10%,1.832,1.6571,≥ 60日均线,,0.1629,0.1425,0.041,
2026-02-13,159112,科创债ETF银华,0.15%,0.05%,100.636,100.2565,≥ 60日均线,,,,,
2026-02-13,515980,华富中证人工智能产业ETF,0.50%,0.10%,0.935,0.8957,≥ 60日均线,,-0.0455,-0.0567,0.0225,
2026-02-13,512070,易方达沪深300非银ETF,0.50%,0.10%,0.895,0.9087,< 60日均线,,0.017,0.0206,-0.0073,
2026-02-13,159600,嘉实中证AAA科技创新公司债ETF,0.15%,0.05%,100.21,99.9082,≥ 60日均线,,,,,
2026-02-13,159338,国泰中证A500ETF,0.15%,0.05%,1.237,1.2053,≥ 60日均线,,0.0453,0.0461,-0.0016,红转绿
2026-02-13,511090,鹏扬中债-30年期国债ETF,0.15%,0.05%,115.749,115.1005,≥ 60日均线,,-1.572,-1.6991,0.2543,
2026-02-13,512890,华泰柏瑞中证红利低波ETF,0.50%,0.10%,1.167,1.1757,< 60日均线,下穿60日均线,-0.0018,0.0019,-0.0075,
2026-02-13,512480,国联安中证半导体ETF,0.50%,0.10%,1.655,1.5328,≥ 60日均线,,0.1092,0.1014,0.0156,
2026-02-13,159755,广发国证新能源车电池ETF,0.50%,0.10%,1.088,1.0634,≥ 60日均线,,0.0583,0.07,-0.0234,
2026-02-13,551900,招商中证AAA科技创新公司债ETF,0.15%,0.05%,100.2,99.7437,≥ 60日均线,,,,,
2026-02-13,511070,南方上证基准做市公司债ETF,0.15%,0.05%,101.097,100.6065,≥ 60日均线,,0.1271,0.0723,0.1097,
2026-02-13,159326,华夏中证电网设备主题ETF,0.50%,0.10%,1.83,1.5792,≥ 60日均线,,0.1389,0.1131,0.0517,
2026-02-13,159530,易方达国证机器人产业ETF,0.50%,0.10%,1.604,1.534,≥ 60日均线,,0.0485,0.0472,0.0026,
2026-02-13,512500,华夏中证500ETF,0.15%,0.05%,4.64,4.2938,≥ 60日均线,,0.2616,0.2258,0.0715,
2026-02-13,516650,华夏细分有色金属产业主题ETF,0.50%,0.10%,2.145,1.959,≥ 60日均线,,0.2148,0.1935,0.0426,
2026-02-13,551580,泰康中证AAA科技创新公司债ETF,0.15%,0.05%,100.71,100.3889,≥ 60日均线,,,,,
2026-02-13,511220,海富通上证城投债ETF,0.15%,0.05%,10.277,10.2147,≥ 60日均线,,0.0044,-0.0079,0.0246,
2026-02-13,551560,兴业中证AAA科技创新公司债ETF,0.15%,0.05%,100.385,99.9775,≥ 60日均线,,,,,
2026-02-13,159200,富国中证AAA科技创新公司债ETF,0.15%,0.05%,100.577,100.1828,≥ 60日均线,,,,,
2026-02-13,517520,永赢中证沪深港黄金产业股票ETF,0.50%,0.10%,2.482,2.2393,≥ 60日均线,,0.2303,0.1896,0.0813,
2026-02-13,515450,南方红利低波50ETF,0.50%,0.10%,1.41,1.4181,< 60日均线,下穿60日均线,-0.0065,-0.0042,-0.0045,
2026-02-13,515880,国泰中证全指通信设备ETF,0.50%,0.10%,1.046,2.7002,< 60日均线,,-0.0004,0.2248,-0.4505,
2026-02-13,159845,华夏中证1000ETF,0.15%,0.05%,3.385,3.2071,≥ 60日均线,,0.1483,0.1341,0.0285,
2026-02-13,511260,国泰上证10年期国债ETF,0.15%,0.05%,135.258,134.6659,≥ 60日均线,,-0.1551,-0.2315,0.1528,
2026-02-13,511200,华夏上证基准做市公司债ETF,0.15%,0.05%,101.439,100.8989,≥ 60日均线,,0.1488,0.0934,0.1108,
2026-02-13,515180,易方达中证红利ETF,0.15%,0.05%,1.416,1.3858,≥ 60日均线,,0.002,-0.0006,0.0052,
2026-02-13,159922,嘉实中证500ETF,0.15%,0.05%,3.328,3.0921,≥ 60日均线,,0.1504,0.1142,0.0724,
2026-02-13,159992,银华中证创新药产业ETF,0.50%,0.05%,0.832,0.8597,< 60日均线,,-0.0069,0.0025,-0.0189,
2026-02-13,159201,华夏国证自由现金流ETF,0.15%,0.05%,1.305,1.2366,≥ 60日均线,,0.0566,0.0497,0.0138,
2026-02-13,512010,易方达沪深300医药ETF,0.50%,0.10%,0.382,0.3889,< 60日均线,,-0.0045,-0.0016,-0.0057,
2026-02-13,513770,华宝中证港股通互联网ETF,0.50%,0.10%,0.51,0.5412,< 60日均线,,-0.0831,-0.0953,0.0243,
